Mes ano	ICV
jan 70	71.6
fev 70	72.5
mar 70	73.5
abr 70	74.5
mai 70	75.2
jun 70	76.3
jul 70	76.9
ago 70	78.1
set 70	80
out 70	80.9
nov 70	81.7
dez 70	82.9
jan 71	84.7
fev 71	86.3
mar 71	88.8
abr 71	90.9
mai 71	91.5
jun 71	93.4
jul 71	94.6
ago 71	95.9
set 71	96.7
out 71	97.8
nov 71	99.1
dez 71	100
jan 72	102.2
fev 72	103.7
mar 72	104.7
abr 72	106
mai 72	106.7
jun 72	107.9
jul 72	110.4
ago 72	112.3
set 72	114.1
out 72	116.1
nov 72	117.1
dez 72	117.5
jan 73	118.9
fev 73	120.2
mar 73	122.1
abr 73	124.2
mai 73	125.2
jun 73	126.2
jan 73	127.6
ago 73	128.9
set 73	130.5
out 73	132
nov 73	133.2
dez 73	133.9
jan 74	135.1
fev 74	139.9
mar 74	145.8
abr 74	153.2
mai 74	156.1
jun 74	158.1
jul 74	161.6
ago 74	164.7
set 74	167.4
out 74	170.2
nov 74	174
dez 74	178.1
jan 75	183.1
fev 75	187.5
mar 75	189.9
abr 75	194.1
mai 75	197.8
jun 75	204
jul 75	208
ago 75	215
set 75	219
out 75	223
nov 75	227
dez 75	230
jan 76	238
fev 76	251
mar 76	256
abr 76	263
mai 76	270
jun 76	275
jul 76	280
ago 76	290
set 76	298
out 76	305
nov 76	310
dez 76	318
jan 77	329
fev 77	343
mar 77	359
abr 77	375
mai 77	383
jun 77	393
jul 77	400
ago 77	407
set 77	415
out 77	424
nov 77	436
dez 77	449
jan 78	456
fev 78	474
mar 78	486
abr 78	495
mai 78	510
jun 78	535
jul 78	558
ago 78	572
set 78	586
out 78	602
nov 78	617
dez 78	628
jan 79	653
fev 79	667
mar 79	707
abr 79	731
mai 79	746
jun 79	778
jul 79	812
ago 79	840
set 79	849
out 79	936
nov 79	980
dez 79	1049
jan 80	1096
fev 80	1133
mar 80	1182
abr 80	1237
mai 80	1309
jun 80	1374
