Dia	Mes	Ano	RES65	PM10	so2	co	o3	no2
1	1	1997	11	36.841	11.326	1.7133	68.952	42.535
2	1	1997	3	33.634	16.284	1.6083	52.48	57.02
3	1	1997	11	35.319	17.21	1.8983	45.18	61.838
4	1	1997	8	29.742	16.0025	1.675	117.338	78.51
5	1	1997	11	43.343	21.3	2.012	156.02	82.008
6	1	1997	11	43.787	26.735	2.458	126.133	135.51
7	1	1997	8	51.858	31.955	3.228	94.912	159.426
8	1	1997	7	53.457	29.954	3.966	67.183	182.9
9	1	1997	9	41.771	27.486	3.7217	76.266	131.714
10	1	1997	11	54.352	32.566	4.5267	38.628	113.142
11	1	1997	7	33.294	21.862	3.7667	48.515	82.892
12	1	1997	8	35.838	20.784	3.4433	61.858	76.064
13	1	1997	6	39.794	23.302	3.9433	50.54	95.604
14	1	1997	10	53.626	24.152	3.825	64.6	118.452
15	1	1997	4	54.672	27.838	3.7017	107.893	155.678
16	1	1997	10	43.894	25.394	4.0917	21.637	131.31
17	1	1997	7	36.534	22.7	2.4117	39.886	68.772
18	1	1997	9	39.015	19.028	1.79	92.622	77.402
19	1	1997	10	31.412	14.42	2.0183	56.828	63.394
20	1	1997	13	39.82	18.822	3.1567	48.303	98.624
21	1	1997	6	43.209	15.21	3.378	43.787	129.275
22	1	1997	11	43.247	13.0625	3.94	43.88	106.215
23	1	1997	11	40.885	11.24	3.308	53.487	98.33
24	1	1997	10	42.229	12.945	3.5017	32.023	94.417
25	1	1997	7	34.797	8.0575	3.095	60.868	79.656
26	1	1997	4	30.97	11.892	2.5386	54.074	71.8
27	1	1997	10	42.828	17.208	3.8629	40.282	94.386
28	1	1997	5	46.9	15.04	3.5483	45.657	85.477
29	1	1997	8	56.243	17.3675	4.0517	47.127	92.612
30	1	1997	7	58.775	28.402	4.14	52.384	110.463
31	1	1997	7	40.902	19.77	2.862	45.136	100.272
1	2	1997	8	31.632	12.595	2.55	48.225	55.557
2	2	1997	6	28.422	6.7067	2.3075	56.623	57.865
3	2	1997	7	42.492	15.44	2.6433	55.037	135.895
4	2	1997	9	61.359	21.12	3.31	78.495	191.48
5	2	1997	8	68.107	25.62	2.9533	122.403	125.24
6	2	1997	11	73.784	26.185	3.2	121.452	120.79
7	2	1997	12	79.42	31.57	2.7943	181.802	158.18
8	2	1997	7	64.553	19.3075	1.9514	146.552	77.22
9	2	1997	8	48.675	17.6925	2.0757	138.304	104.628
10	2	1997	9	58.014	19.0675	2.5943	105.984	135.39
11	2	1997	14	70.038	25.565	4.03	81.558	110.4
12	2	1997	18	69.538	26.0625	2.5786	132.244	154.863
13	2	1997	6	58.008	29.035	3.0929	77.824	147.322
14	2	1997	9	54.687	26.9875	3.93	50.03	149.183
15	2	1997	13	45.952	19.1325	4.22	50.958	125.59
16	2	1997	9	30.475	13.2075	2.6829	45.555	84.27
17	2	1997	5	39.598	20.8275	3.29	60.87	133.053
18	2	1997	7	41.73	23.425	3.4757	34.8	103.455
19	2	1997	7	48.33	25.8	4.1557	66.735	108.263
20	2	1997	6	45.82	23.8275	4.05	55.552	100.14
21	2	1997	11	44.978	19.57	3.2343	61.903	93.347
22	2	1997	11	55.549	22.735	2.6186	92.658	104.447
23	2	1997	11	55.658	18.9625	3.1386	147.915	148.137
24	2	1997	8	50.612	17.5675	2.65	68.027	82.594
25	2	1997	12	53.903	20.5525	2.85	154.487	181.972
26	2	1997	12	58.552	25.72	2.4571	169.627	149.86
27	2	1997	9	48.406	22.174	2.615	98.222	122.942
28	2	1997	8	39.661	23.9475	2.46	42.168	72.154
1	3	1997	9	36.589	20.4075	1.7571	54.292	58.236
2	3	1997	8	37.515	12.4225	1.5471	82.98	64.45
3	3	1997	13	49.673	22.185	3.3586	98.587	147.982
4	3	1997	9	50.577	27.965	3.03	71.675	155.13
5	3	1997	11	52.924	26.7925	3.3814	46.97	128.432
6	3	1997	10	55.336	27.66	3.5267	34.597	125.73
7	3	1997	13	61.199	48.925	3.9233	51.682	150.69
8	3	1997	7	55.063	34.62	2.79	127.153	145.354
9	3	1997	8	51.705	29.66	2.0717	103.658	83.278
10	3	1997	10	49.882	27.0633	2.8267	108.845	120.46
11	3	1997	8	68.641	40.7167	2.8643	138.324	146.688
12	3	1997	10	78.967	48.25	4.2757	96.198	160.618
13	3	1997	8	84.008	40.6975	3.8586	97.264	186.34
14	3	1997	9	67.739	29.316	2.9729	136.61	146.88
15	3	1997	9	48.783	17.426	2.7171	53.127	102.892
16	3	1997	11	37.093	12.998	2.3	69.738	66.512
17	3	1997	13	35.88	16.478	1.9714	47.025	75.402
18	3	1997	8	40.9	22.198	2.1371	44.165	82.072
19	3	1997	11	49.06	23.518	2.3871	76.752	109.056
20	3	1997	8	59.907	27.276	2.6443	90.303	124.6
21	3	1997	8	57.016	27.764	2.5114	106.917	139.396
